zpid_index,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_openHouse,listingSubType.is_bankOwned,listingSubType.is_FSBA,newConstructionType,listingSubType.is_newHome,listingSubType.is_forAuction,unit,listingSubType.is_foreclosure
25267691,,SINGLE_FAMILY,6039.0,"16372 Mercier Ln, Huntington Beach, CA 92647",https://photos.zillowstatic.com/fp/fce1a47d0ed656c5f4dee37d619cf26d-p_e.jpg,1799900,5.0,-118.017365,33.72423,FOR_SALE,25267691,,-1,4.0,3000.0,USA,USD,sqft,True,,,True,,,,,
25158166,,SINGLE_FAMILY,6040.0,"1101 S Washington Ave, Fullerton, CA 92832",https://photos.zillowstatic.com/fp/4d292ef900f3fb260d460b068b7c5d48-p_e.jpg,799900,3.0,-117.938126,33.860867,FOR_SALE,25158166,,-1,2.0,1200.0,USA,USD,sqft,True,,,True,,,,,
25641727,,SINGLE_FAMILY,5500.0,"20672 Mountain View Rd, Trabuco Canyon, CA 92679",https://photos.zillowstatic.com/fp/40d0b37516eb16b196591d8f1bef485c-p_e.jpg,995000,3.0,-117.58887,33.662014,FOR_SALE,25641727,,-1,4.0,2060.0,USA,USD,sqft,True,,,True,,,,,
25304472,,SINGLE_FAMILY,7200.0,"14202 Ebony Way, Westminster, CA 92683",https://photos.zillowstatic.com/fp/f7b0355f0f60a2623181627a0cf00715-p_e.jpg,799999,3.0,-118.02041,33.75606,FOR_SALE,25304472,,-1,2.0,1095.0,USA,USD,sqft,True,,,True,,,,,
25297581,,SINGLE_FAMILY,5000.0,"10650 El Toro Ave, Fountain Valley, CA 92708",https://photos.zillowstatic.com/fp/57db6d9e51c068e8c828340c0d92b673-p_e.jpg,1200000,4.0,-117.942795,33.706352,FOR_SALE,25297581,,-1,3.0,2057.0,USA,USD,sqft,True,,,True,,,,,
25222286,,SINGLE_FAMILY,7204.0,"9652 Canton Ave, Anaheim, CA 92804",https://photos.zillowstatic.com/fp/f0dcb45fc2a9882646f94ab85336992d-p_e.jpg,799000,4.0,-117.964584,33.804493,FOR_SALE,25222286,,-1,2.0,1288.0,USA,USD,sqft,True,,,True,,,,,
25324881,,SINGLE_FAMILY,6000.0,"5392 Belle Ave, Cypress, CA 90630",https://photos.zillowstatic.com/fp/933e6bced1bde355d1bf994d2de58c43-p_e.jpg,839900,3.0,-118.03861,33.815723,FOR_SALE,25324881,,-1,2.0,1049.0,USA,USD,sqft,True,True,,True,,,,,
25115967,,SINGLE_FAMILY,0.48484848484848,"1736 Sunny Knl, Fullerton, CA 92835",https://photos.zillowstatic.com/fp/b264f847048097b4ae8722531f5398d4-p_e.jpg,1450000,4.0,-117.92874,33.891766,FOR_SALE,25115967,,-1,3.0,2146.0,USA,USD,acres,True,,,True,,,,,
25214161,,SINGLE_FAMILY,6000.0,"333 Morning Star Ln, Newport Beach, CA 92660",https://photos.zillowstatic.com/fp/fc9ea676110a7dc4b552659ec4ed2176-p_e.jpg,8850000,4.0,-117.89663,33.62159,FOR_SALE,25214161,,-1,4.0,3912.0,USA,USD,sqft,True,,,True,,,,,
25575275,,SINGLE_FAMILY,0.39354912764004,"31955 Coast Hwy, Laguna Beach, CA 92651",https://photos.zillowstatic.com/fp/e6fee3840c60ae5c7b325ece3249e7c6-p_e.jpg,8995000,3.0,-117.74082,33.498276,FOR_SALE,25575275,,-1,4.0,2900.0,USA,USD,acres,True,,,True,,,,,
2062236475,,SINGLE_FAMILY,9941.0,"6623 Vista Loma S #B, Yorba Linda, CA 92886",https://photos.zillowstatic.com/fp/22909a2b4284bf6173817729b0ae1aa4-p_e.jpg,695000,2.0,-117.7899,33.864635,FOR_SALE,2062236475,,-1,1.0,1014.0,USA,USD,sqft,True,,,True,,,,# B,
25528754,,SINGLE_FAMILY,6175.0,"21752 Bellcroft Dr, Lake Forest, CA 92630",https://photos.zillowstatic.com/fp/6f27e2bbe9e4921904b0a229a18c1706-p_e.jpg,1098000,4.0,-117.67557,33.646515,FOR_SALE,25528754,,-1,3.0,2039.0,USA,USD,sqft,True,,,True,,,,,
25488747,,SINGLE_FAMILY,7670.0,"18 Mallard, Irvine, CA 92604",https://photos.zillowstatic.com/fp/132ca59c2a40aeb893d182c1fc2455c1-p_e.jpg,1850000,5.0,-117.79637,33.683228,FOR_SALE,25488747,,-1,3.0,3052.0,USA,USD,sqft,True,True,,True,,,,,
25558662,,SINGLE_FAMILY,9802.0,"1885 Ocean Way, Laguna Beach, CA 92651",https://photos.zillowstatic.com/fp/cb00ccbee98d5d79bdbd5dea29f26e3a-p_e.jpg,17900000,4.0,-117.771484,33.52754,FOR_SALE,25558662,,-1,5.0,5650.0,USA,USD,sqft,True,,,True,,,,,
25239942,,SINGLE_FAMILY,6600.0,"10130 Holder St, Buena Park, CA 90620",https://photos.zillowstatic.com/fp/39a34dc7a84c060c1abb4cba7f326fcb-p_e.jpg,796000,4.0,-118.019196,33.814785,FOR_SALE,25239942,,-1,2.0,1201.0,USA,USD,sqft,True,,,True,,,,,
25683464,,SINGLE_FAMILY,3500.0,"21672 Alderbrook #34, Mission Viejo, CA 92692",https://photos.zillowstatic.com/fp/bf763e438b474879e3c6eb5c0cbd569e-p_e.jpg,850000,3.0,-117.63746,33.647736,FOR_SALE,25683464,,-1,3.0,1570.0,USA,USD,sqft,True,,,True,,,,# 34,
